Link,Price,Address,Broker Name,Broker Phone Number,Brokerage Company,Brokerage Address,Brokerage Phone Number,Brokerage Website,MLS Number,Property Description,Location Description,Property Type,Building Type,Community Name,Title,Annual Property Taxes,Parking Space,Time on Realtor,Bedrooms Above Grade,Bedrooms Below Grade,Bathrooms,Features,Cooling,Heating,Exterior Finish,Storeys,Land Size,Parking Type,Appliances Included,Flooring,Basement Features,Basement Type,Building Amenities,Pool Type,Foundation Type,Style,Utility Sewer,Water,Land Frontage,Land Depth
https://www.realtor.ca/real-estate/27252146/46-satchell-boulevard-toronto-e10-centennial-scarborough,1250000,"46 SATCHELL BOULEVARD, Toronto E10, Ontario M1C3B4",RAI K. MOHAN,647-688-6801,RE/MAX ROUGE RIVER REALTY LTD.,"6758 KINGSTON ROAD, UNIT 1
TORONTO, Ontario M1B1G8",416-286-3993,http://www.rougeriverrealty.com/,MLS? Number: E9239480,"Spacious Sun Filled Detached Brick 4 Level Backsplit on a sought after street in Desirable Centennial Rouge Community! This 4 Bedroom, 3 Bath Well Laid Out Home Is Ideal For A Large Or Multi Generational Family looking for a Ground Level Separate Entrance, Main Floor Laundry, Family Room With A Walkout To The Patio, a Bonus 4th Bedroom Or Den. Get Out Of The Heat In Your Own In-Ground Pool with no neighbours behind you! The Finished Basement Has A Huge Recreation Room. Double Garage And Double Driveway. Relax On The Huge Front Verandah. This Great Location Offers Excellent Schools Of All Types (Public, Catholic, French) Including UTSC. Parks, Riding And Waterfront Trails, TTC And Rouge GO Train, Grocery Shopping, Banks, LCBO, Beer Store, Hwy 401 & #2, Medical Facilities, Hospital Are All Close By. **** EXTRAS **** Inground Pool & Equipment (AS IS condition) Open Houses Sat/Sun Aug. 10 & 11th from 2-4pm. (36491626)",Lawson & Meadowvale,Single Family,House,Centennial Scarborough,Freehold,5096.99,,7 days,4,,3,,"Central air conditioning, Ventilation system",Forced air (Natural gas),"Brick, Aluminum siding",,47.92 x 150 FT ; as per survey,Attached Garage,"Dishwasher, Dryer, Freezer, Garage door opener, Refrigerator, Stove, Washer, Window Coverings","Hardwood, Concrete, Parquet, Vinyl, Laminate",,N/A (Finished),Fireplace(s),Inground pool,Concrete,Detached,Sanitary sewer,Municipal water,47 ft,150 ft
https://www.realtor.ca/real-estate/27251462/2415-60-byng-avenue-toronto-c14-willowdale-east,608800,"2415 - 60 BYNG AVENUE, Toronto C14, Ontario M2N7K3",JASON HONG,905-669-2200,KELLER WILLIAMS LEGACIES REALTY,"28 ROYTEC RD #201-203
VAUGHAN, Ontario L4L8E4",905-669-2200,http://www.kwlegacies.com/,MLS? Number: C9239164,"Welcome to The Monet, a luxurious condo apartment in the heart of Toronto! This stunning residence offers 1+1 bedrooms and 1 bathroom, perfect for comfortable urban living. Den has sliding doors and can be used as 2nd bdrm. Step into a bright and warm interior featuring unobstructed panoramic west views, allowing natural light to fill the spacious unit. With 9 ft ceilings, the sense of space and openness is immediately apparent.The living and dining areas boast elegant hardwood floors, while the master bedroom and solarium feature durable laminated hardwood for a seamless blend of style and practicality. The marble foyer exudes sophistication, setting the tone for the rest of the home.Located just steps from Finch Subway, TTC, GO, and Viva, commuting is a breeze. Quick access to Highway 401 means you're never far from the city's main attractions. Enjoy the convenience of nearby restaurants, coffee shops, stores, and a community centre, providing endless options for dining, shopping, and recreation.This building is known for its high rent prices, making it an excellent investment opportunity. All utilities are included in the maintenance fee, offering hassle-free living in a premier location. Experience the pinnacle of luxury and convenience at The Monet! **** EXTRAS **** Building Facilities Include 2 Pools, Sauna, Hot Tub, Games Rm, Gym, Party Rm & 24 Hr Concierge. (36490626)",Yonge/Finch,Single Family,Apartment,Willowdale East,Condominium/Strata,2210.24,,8 days,1,1,1,"Balcony, In suite Laundry",Central air conditioning,Forced air (Natural gas),Concrete,,,Underground,Window Coverings,"Laminate, Hardwood",,,"Exercise Centre, Party Room, Visitor Parking, Security/Concierge, Storage - Locker",Indoor pool,,,,,,
https://www.realtor.ca/real-estate/27251369/63-revlis-crescent-toronto-e05-lamoreaux,1280000,"63 REVLIS CRESCENT, Toronto E05, Ontario M1V1E8",CARL CHEN,905-882-6882,CONDOWONG REAL ESTATE INC.,"328 HIGHWAY 7 E UNIT 20
RICHMOND HILL, Ontario L4B3P7",905-882-6882,http://www.condowong.ca/,MLS? Number: E9239125,"This exquisite 4-bedroom link home, featuring an interlock driveway, is nestled in the heart of Scarborough. The property boasts a no-sidewalk driveway capable of accommodating 4 cars. Inside, the modern kitchen and spacious, functional bedrooms provide a comfortable and stylish living environment. The home includes a separate entrance leading to a finished basement, complete with a recreation room, fireplace and a 4-piece bathroom. Located in a highly sought-after neighborhood, this residence is just moments away from parks, schools, shopping, dining, and more. Don't miss your opportunity to make this exceptional home your own. **** EXTRAS **** S.S. Stove(1), Fridge(1), Rangehood(1), Microwave(1), Washer(1) &Dryer(1), Furnace, All Elfs, Window Coverings (36490494)",Kennedy/McNicoll,Single Family,House,L'Amoreaux,,4828.21,,8 days,4,,3,,Central air conditioning,Forced air (Natural gas),"Aluminum siding, Brick",2,30 x 102 FT,Garage,,"Hardwood, Ceramic, Laminate",Separate entrance,N/A (Finished),,,Poured Concrete,Link,Sanitary sewer,Municipal water,30 ft,102 ft
https://www.realtor.ca/real-estate/27251022/34-henbury-place-toronto-e11-malvern,839000,"34 HENBURY PLACE, Toronto E11, Ontario M1B2S8",JOSSI JOSEPH KARAKKATTU,416-624-5348,RIGHT AT HOME REALTY,"1396 DON MILLS RD UNIT B-121
TORONTO, Ontario M3B0A7",416-391-3232,http://www.rightathomerealty.com/,MLS? Number: E9238982,"Excellent, Most Practical Back Split With All 4 Bedrooms Above Ground, Child Friendly, Freehold Townhouse On A Quiet Cul De Sac. Suits For A Big Family. Deep Lot, Rare Three Cars Driveway, No Neighbors At The Back. Freshly Painted, Hardwood Floors On Main Floor, Laminate Floors In All Bedrooms, Finished Basement With 3 Pc Washroom, Very Close To Main Intersection Of Sheppard &Morningside. Walk To Bus Stop. Modern Kitchen 2022,Roof 2019,A/C 2014.Zebra Blinds. (36490004)",MORNINGSIDE/SHEPARD AVE E,Single Family,Row / Townhouse,Malvern,Freehold,2703.8,,8 days,4,,3,,Central air conditioning,Forced air (Natural gas),"Brick, Aluminum siding",,20.02 x 130.2 FT,Attached Garage,"Blinds, Dishwasher, Dryer, Refrigerator, Stove, Washer, Window Coverings","Hardwood, Porcelain Tile, Laminate, Ceramic",,N/A (Finished),,,Poured Concrete,Attached,Sanitary sewer,Municipal water,20 ft,130 ft
https://www.realtor.ca/real-estate/27251019/2615-319-jarvis-street-toronto-c08-church-yonge-corridor,849900,"2615 - 319 JARVIS STREET, Toronto C08, Ontario M5B0C8",GURMINDER SINGH GILL,416-994-9444,RE/MAX GOLD REALTY INC.,"2720 NORTH PARK DRIVE #201
BRAMPTON, Ontario L6S0E9",905-456-1010,,MLS? Number: C9238984,"This brand new never-lived-in bright south corner unit with lake view, features 2 bedrooms and 2 bathrooms, stunning clear views. Conveniently located at Jarvis & Dundas, just steps from Yonge- Dundas Square, Dundas Subway, and Toronto Metropolitan University (formerly Ryerson),PRIME offers easy access to Toronto's Financial District and the University Health Network. Experience premier shopping and dining right at your doorstep! The luxurious lobby is elegantly furnished by Versace. With over 10,000 square feet of indoor and outdoor amenities, enjoy quiet study pods, co-working spaces, and private meeting rooms inspired by the work environments of Facebook and Google. Stay fit at PRIME Fitness, which includes 6,500 square feet of indoor facilities featuring CrossFit, cardio, weight training, yoga, boxing, and more. **** EXTRAS **** Built In Appliances: Fridge, Stove, Dishwasher. Microwave, Washer/ Dryer, and Internet are Included in the maintenance fee. (36490003)",Jarvis St & Gerrard St E,Single Family,Apartment,Church-Yonge Corridor,Condominium/Strata,4150,,8 days,2,,4,,Central air conditioning,Forced air (Natural gas),Aluminum siding,,,Underground,,,,,"Security/Concierge, Exercise Centre, Recreation Centre, Visitor Parking, Storage - Locker",,,,,,,
https://www.realtor.ca/real-estate/27251014/126-25-adra-grado-way-toronto-c15-bayview-village,2198000,"126 - 25 ADRA GRADO WAY, Toronto C15, Ontario M2J0H6",MARNIE QIAN,905-604-5600,GOLDENWAY REAL ESTATE LTD.,"3390 MIDLAND AVE SUITE 7
TORONTO, Ontario M1V5K3",905-604-5600,,MLS? Number: C9238968,"SCALA by Tridel. Del Property Management. ***Rarely Live-In, Looks Like Brand-New*** Unique & Rare 2 storey unit with 2089 Sq Ft +/-, 4 washrooms, 3 full bedrooms and 1 Den (use as a study room/office/tearoom)all facing South with a Ravine View!!! Open Living & Dining Room, Stunning B/I Kitchen, and a Laundry Room with a Sink! 2 Terraces (306+198 Sqf), lower level terrace walk out direct to the Don River Trails. ***2 Side By Side Parking in P1 close to elevator***High-end, Top-class amenities and facilities: Roof Top Terrace, Inside and Outdoor Pool, Whirlpool, Cabanas, Poolside Lounge Area, BBQ Pits. Sauna & Steam Room, Hot Tub, Party/Meeting Room, Theatre, Large Fitness Centre/Gym. Rogers Bulk Internet included in Maintenance Fees!!!***Steps to Leslie Subway Station, close to TTC, North York General Hospital, HWY 401 & 404 & DVP, Fairview Mall, Bayview Shopping Center. Top Ranking Schools, Restaurants, Supermarkets And All Necessities. **** EXTRAS **** Existing Window Coverings, B/I Appliances: Fridge, Cooktop, Oven, Microwave, Dishwasher, Laundry Washer & Dryer. 2 Parking (P1-60, P1-61) (36489982)",Sheppard and Leslie,Single Family,Apartment,Bayview Village,Condominium/Strata,9820.92,,8 days,3,1,4,"Ravine, Wheelchair access, Carpet Free, Guest Suite",Central air conditioning,Forced air (Natural gas),Concrete,2,,Underground,Oven - Built-In,Hardwood,"Separate entrance, Walk out",N/A,"Exercise Centre, Party Room, Visitor Parking, Separate Heating Controls, Security/Concierge","Indoor pool, Outdoor pool",,,,,,
https://www.realtor.ca/real-estate/27251011/31-rose-avenue-toronto-c08-cabbagetown-south-st-james-town,2449000,"31 ROSE AVENUE, Toronto C08, Ontario M4X1N7",VINAY LAKHANI,416-222-2600,RE/MAX REALTRON REALTY INC.,"182 SHEPPARD AVENUE WEST
TORONTO, Ontario M2N1M8",416-222-2600,,MLS? Number: C9238954,"Client RemarksUncover Cabbagetown's 3-story Victorian masterpiece merging history with modern luxury. Marvel at exposed brick, 3 fireplaces, and hardwood floors. The main floor hosts 2 bedrooms & a decked garden w/ access to a 2-car garage. Ascend to 2nd floor w/ 2 bedrooms & a private deck, while the 3rd floor features a Bright 1-bedroom unit with high ceilings & expansive deck. This legal triplex, currently occupied by A++ tenants is a rare gem in the real estate market. Each unit boasts its own heat pumps and individual laundry facilities for personalized comfort. Explore the opportunity to invest in a piece of history with a modern twist, Unlock potential with the possibility of creating a fourth unit in the basement in the future, enhancing both versatility and value. Highlighting potential for a laneway house adding even more value. Don't miss out This is your chance to own a slice of Cabbagetown's past, present and future, in a property that stands out in a league of its own! Seller willing to offer VTB mortgage. **** EXTRAS **** Please see list of upgrades in attachments. (36489965)",Parliament & Wellesley,Single Family,Row / Townhouse,Cabbagetown-South St. James Town,Freehold,8587.97,,8 days,5,,3,Lane,Central air conditioning,Heat Pump (Electric),Brick,3,18.78 x 130.77 FT,Detached Garage,Window Coverings,Laminate,,N/A (Unfinished),,,Block,Attached,Sanitary sewer,Municipal water,18 ft,130 ft
https://www.realtor.ca/real-estate/27251012/ph205-256-doris-avenue-toronto-c14-willowdale-east,738000,"PH205 - 256 DORIS AVENUE, Toronto C14, Ontario M2N6X8",ALAN ZHENG,647-877-9311,RE/MAX REALTRON REALTY INC.,"183 WILLOWDALE AVE.
TORONTO, Ontario M2N4Y9",416-222-8600,,MLS? Number: C9238963,"This renovated corner unit penthouse boasts a spacious split layout with 2 bedrooms and 2 full baths, offering 981 sq. ft. of living space. It features a soaring panoramic view with unobstructed sightlines, ensuring plenty of natural light throughout the day. Recently updated, this penthouse is move-in ready for immediate enjoyment. Its prime location provides walking distance access to the subway, North York Centre, shopping, community centre, library, and top-rated public schools. The unit includes one parking and one locker, along with ample visitor parking. Situated within the highly sought-after McKee and Earl Haig school districts, this penthouse is ideal for families. Additionally, all utilities, including hydro, heat, water, central air conditioning, building insurance, common elements, parking, and locker, are covered in the maintenance fee. **** EXTRAS **** OFFER ANYTIME! Brand New Stainless Steel Appliances (Fridge, Stove, Built-In Dishwasher, Range Hood), Washer/Dryer & All Light Fixtures, All Blinds. (36489975)",Yong/Empress,Single Family,Apartment,Willowdale East,Condominium/Strata,2791.6,,8 days,2,,2,"Balcony, Carpet Free",Central air conditioning,Forced air (Natural gas),"Brick, Concrete",,,Underground,,"Laminate, Ceramic",,,"Security/Concierge, Exercise Centre, Party Room, Sauna, Visitor Parking, Storage - Locker",,,,,,,
https://www.realtor.ca/real-estate/27250935/1017-1787-stclair-avenue-w-toronto-w03-weston-pellam-park,499000,"1017 - 1787 ST.CLAIR AVENUE W, Toronto W03, Ontario M6N0B7",ARI KHAKI,647-625-2080,CENTURY 21 HERITAGE GROUP LTD.,"11160 YONGE ST # 3 & 7
RICHMOND HILL, Ontario L4S1H5",905-883-8300,http://www.homesbyheritage.ca/,MLS? Number: W9238952,"Pleasingly Proportionate One Bedroom + Den, 665 Sqft of Interior Living Space + 50 Sqft Balcony. Oversized Windows, High Ceilings, Open Concept, Ensuite Laundry, Newer Appliances Including Stacked Washer/Dryer, Stove, Fridge, Dishwasher And Built-In Microwave. Walk Out From The Living Room To The Spacious Balcony Overlooking Neighbourhood. Great Neighbourhood Location With TTC At Your Doorstep. Impressive Rooftop Party Room, Social Lounge, Outdoor Terrace, And BBQ Area Overlooking The City Skyline On The South Side. Huge Fully-Equipped Gym And Yoga Studio. Concierge. On-Site Management. Visitors Parking. **** EXTRAS **** Open Clear View (36489887)",St.Clair Ave W & Old Weston Rd,Single Family,Apartment,Weston-Pellam Park,Condominium/Strata,1362.7,0,8 days,1,1,1,Balcony,Central air conditioning,,Brick,,,,"Dryer, Hood Fan, Microwave, Refrigerator, Stove, Washer",Laminate,,,Storage - Locker,,,,,,,
https://www.realtor.ca/real-estate/27250921/2335-12-gerrard-street-toronto-e02-east-end-danforth,799000,"2335 1/2 GERRARD STREET E, Toronto E02, Ontario M4E2E5",MASOOD WAHAB,647-299-6073,HOMELIFE FRONTIER REALTY INC.,"7620 YONGE STREET UNIT 400
THORNHILL, Ontario L4J1V9",416-218-8800,,MLS? Number: E9238934,"Custom Designed Semi-Detached fully Remodelled from Top to Bottom in Downtown Toronto, Prime location Perfectly situated between The Upper Beaches & East Danforth. Originally Converted from 3Bdrm, Open Concept Layout w/ Professionally Finished Basement. Chef's Kitchen w/ Quartz countertops & Porcelain Floors (Kitchen & Baths), Engineered Hardwood throughout, New Staircases, Pot Lights, Modern & Contemporary Finishes. Upgraded Bathrooms, Spacious Bedrooms & 2nd-Storey W/O Balcony. Prime Deeper Lot, Step into your Private Backyard Retreat Perfect for Entertaining. Your Dream Home Awaits! **** EXTRAS **** All New Existing Appliances (S.S Fridge, Stove, D/W, Range Hood), All Electrical Light Fixtures, Window Coverings (not Staging). Foyer Closet. (36489855)",Victoria Park & Gerrard St E,Single Family,House,East End-Danforth,Freehold,2852,0,8 days,3,,2,,Central air conditioning,Heat Pump (Natural gas),"Brick, Stucco",2,15.17 x 100 FT,,,"Hardwood, Porcelain Tile, Vinyl",,N/A (Finished),,,,Semi-detached,Sanitary sewer,Municipal water,15 ft,100 ft
